Compound,k2,log_k2,Source,Notes,SMILES
T0572 + TCO,37326770462.331535,10.572020416096612,Svatunek computational data,Calculated from ΔG‡ = 12.68 kJ/mol,COC(=C)c2nnc(c1cnccc1)nn2
T0728 + TCO,37279554296.09906,10.571470711409898,Svatunek computational data,Calculated from ΔG‡ = 12.68 kJ/mol,o1cccc1c2nnc(C(F)F)nn2
T0588 + TCO,37241824369.22292,10.571030947660528,Svatunek computational data,Calculated from ΔG‡ = 12.68 kJ/mol,COC(=C)c2nnc(C#C)nn2
T1115 + TCO,37241824368.15112,10.57103094764803,Svatunek computational data,Calculated from ΔG‡ = 12.68 kJ/mol,c1cc(C(=O)N)ccc1c2nnc(C(OC)=C)nn2
T0060 + TCO,37204132628.08711,10.570591183911159,Svatunek computational data,Calculated from ΔG‡ = 12.69 kJ/mol,c1ccncc1c2nnc(F)nn2
T0951 + TCO,37044367840.422165,10.568722187976336,Svatunek computational data,Calculated from ΔG‡ = 12.7 kJ/mol,c1cc(C(F)(F)F)ccc1c2nnc(F)nn2
T0128 + TCO,36866618950.18451,10.56663331014183,Svatunek computational data,Calculated from ΔG‡ = 12.71 kJ/mol,n1cncnc1c2nnc(I)nn2
T0282 + TCO,36764101786.996475,10.56542395984356,Svatunek computational data,Calculated from ΔG‡ = 12.72 kJ/mol,FCc2nnc(Cl)nn2
T0300 + TCO,36745492953.788605,10.565204077968875,Svatunek computational data,Calculated from ΔG‡ = 12.72 kJ/mol,FCc2nnc(CF)nn2
T0980 + TCO,36736192069.6852,10.565094137031533,Svatunek computational data,Calculated from ΔG‡ = 12.72 kJ/mol,c1cc(C(F)(F)F)ccc1c2nnc(C(OC)=C)nn2
T0308 + TCO,36643312610.63275,10.563994727645609,Svatunek computational data,Calculated from ΔG‡ = 12.72 kJ/mol,FC(F)c2nnc(I)nn2
T0956 + TCO,36596960980.43618,10.563445022983894,Svatunek computational data,Calculated from ΔG‡ = 12.73 kJ/mol,c1cc(C(F)(F)F)ccc1c2nnc(c1ncccc1)nn2
